id,Content,Time,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11
R_4UiGh0xVMIV7e2F,Overcharging for parking doesn't change much except to make life more frustrating and economically challenging than it need be. ,10/14/13,Other transit,,,,,,,,,,Other
R_9mjX0hL3UkLKZMx,"You do a great job. The clean air cash has definitely been a big incentive for me to keep up my walking. Not only do I not pay for a permit, but I get paid for that as well!",10/14/13,Walking,,,,,,Walking,,,,
R_5zQeBQD9LK2Dydv,"The bike repair stands are a great idea. However, I really prefer to use an automated air pump rather than a manual pump to inflate my tires, so I usually bypass the stands. Once I needed air so badly that I stopped at a stand, but someone had vandalized the manual pump, so that was a no-go. ",10/14/13,Bike,,,,,,,,,,
R_afLopUjPiZlpmoB,when will there be an express bus for folks living in San Jose?  I only see the East Bay one for several years now,10/14/13,Other transit,,,,,,,,,,
R_6AtEw5aDZCVmNr7,"Wish the RP ran earlier in the morning and would pick up at southbound stops in the afternoon.  / Do not like seeing the RP drive past me with ""SMILE"" or ""HAVE A NICE DAY"" in the lights, because at that moment neither apply :-(",10/14/13,Marguerite,,,,,,,,,,
R_01Igpd3VqV5Ywe1,"Marguerite drivers don't always yield as they should to bicyclists - they need to be instructed how to make right turns when there is a bike lane.  Often, they do not signal and do not pull into the bike lane - instead, they pull an unexpected ""right hook"" across the lane, endangering cyclists who have pulled up along side them in the lane.",10/14/13,Bike,,,,,,,,,,
R_8Hce3iR70TVvS4J,"Note that I am Emerita.  I rarely come to campus anymore except for a meeting, usually after 4 pm.  I have another job in Sunnyvale (not a Stanford position).  ",10/14/13,Other transit,,,,,,,,,,Other
R_b8wOqCSE2kJXT9P,My impression is that cycling is the poor relation in the hierarchy of reimbursement for not driving solo.,10/14/13,Bike,,,,,,,,,,
R_511LnzbjTsnc51j,Your questionnairesalways ignore the needs and conditions of the disabled.,10/14/13,,,,,,,,,,,Other
R_6nxTY5FYp95jrF3,"I've always thought a Marguerite that ran along Foothill Expressway (perhaps as far south as Cupertino) would be well received, as it is very time consuming to get from housing near Foothill Expressway to either Caltrain or VTA (90 minutes via bike and VTA vs. 30 minutes driving).  I would strongly consider taking such a shuttle on days I don't bike in to work.",10/14/13,,Marguerite,,,,,,,,,
R_d0yYZzCRqF2UWoZ,"In general, I think you do a nice job. I like the repair stands. It would be good to have a few more. Bike parking can be a huge pain in the neck. There is not enough parking around campus for bikes.",10/14/13,Bike,,,,Parking,,Walking,,,,Other
R_1FT5diIlKb7Cp81,the stanford faculty housing residents have asked over and over again for the marguerite to go through / the housing area but this has fallen on deaf ears,10/14/13,,Marguerite,,,,,,,,,
R_6JzoFdro6rDlBIh,"How about installing a zipline between the train station and the Oval?  (OK just having fun today!) /  / More seriously, I still see regularly near-accidents involving cyclists going every which way, on their phones, no helmets, etc.  A tragedy waiting to happen.",10/14/13,Bike,,,,,,,,,,Other
R_5vTYhNCuIyVxQ0t,"Benefits should be extended to emeriti faculty who commute to their offices on campus, esp GoPass, in exchange for the A parking sticker that is given automatically to emeriti.",10/14/13,,,Other transit,Commute Club,,,,,,,
R_837oeYCrzq8Js6V,Marguarite should go in and out from campus to the El Camino ... its noise and size negatively impact  the  small neighborhood of college terrace and their will be an accident ...,10/14/13,,Marguerite,,,,,,,,,
R_cSY85AdFKxYYKEd,"Sadly, some of the options are not available for some of us relief staff at the medical center.",10/14/13,,,,,,,,,,,
R_extsCoR8YWucQtv,"LOVE the U-line and Ardenwood Express options, think these are some of the greatest benefits I've ever had.  The Commute Club is like the sprinkles on the frosting of an already amazing benefit!",10/14/13,,,,Commute Club,,,,,,,
R_cvgqWEufz7d9iVT,Please provide a Shuttle utilizing the Dumbarton Express to Bohannon. ,10/14/13,,,,,,,,,,,
R_8rmvZbZUcAp1mo5,"I regularly take the U Line, Ardenwood Express and/or Dumbarton bus to/from work. The AE is a big help alleviating overcrowding on the U bus. Too bad the schedules can't be staggered instead of shadowing each other. The U buses are much more comfortable than the AE buses but they're getting older and often the lights/heating/cooling/wi-fi don't work or the bus itself breaks down. Sometimes I drive to work if I'm coming in late because there isn't much bus service during the day (non-commute hours). As time goes by and the peninsula becomes less and less affordable, I'm afraid more service to the east bay will be needed. Thank you!",10/14/13,,Marguerite,Other transit,,,,,,,,
R_6Mxlcajn2A9u2JD,I would like to learn more about the listed programs. Do any apply to SLAC employees? I experience equipment failure a few times per year and would like to know how to arrange help.,10/14/13,Bike,Marguerite,,,,,,,,,
R_54uzFJxpMcQbyYZ,I like to walk on campus.  Auto drivers are generally careful of pedestrians.  But bikers do NOT observe biking rules.  It's dangerous for pedestrians.,10/14/13,Bike,,,,,,,,,,
R_4ZcN71180FpxjLv,There is nowhere to even acknowledge that I drive an electric car - it's not an option!! While most other companies in Silicon Valley offer charging stations - usually free. Stanford has very few (not practical to walk that far) and are extremely expensive. I think it's a big oversight. I should be able to charge close to work free or at a reasonable price. ,10/14/13,,,,,,,,,,,Other
R_9AdXU95zKxYwOMJ,none,10/14/13,,,,,,,,,,,Other
R_bDEjSMJ9rtB3JM9,"With the changes that have been made to the Marguerite in the past few years, it is not convenient to use to get to the other side of campus. The old C line was much more useful. Also the last time I did try to ride it, it didn't show up. That's the other reason I've stopped trying to catch it.",10/14/13,,Marguerite,,,,,,,,,
R_3V29kCNcaCAMZ37,Please consider commute busses that provide a good work environment!,10/14/13,,,Other transit,,,,,,,,
R_eKSDhFeihCHtzTf,Park  and ride along El Camino Real and Scott Blvd or free caltrain Santa Clara Parking.,10/14/13,,,,,Parking,,,,,,Other
R_b9t4Nr8Nwc9krk1,too much emphasis on bicycles.  permits should be cheaper even free for volunteers,10/14/13,Bike,,,,Parking,,,,P&TS website and/or online ordering system,,
R_8Dn4qR72ELfJi5f,"Because I have only recently received a disabled parking permit, I am having to learn the various options.",10/14/13,,,,,,,,,,,
R_3mbjtGFVuxWCoDj,"When I worked on campus, there was more monetary incentive for carpooling or taking public transit.  Now that I work off campus, and no longer pay for parking, the incentive is not here.",10/14/13,,,,Commute Club,,,,,,,
R_1EQ7FAIPaUXGIcZ,More express busses to and from San Jose during reasonable hours and directly to Stanford campus.,10/14/13,,,Other transit,,,,,,,,
R_2t8yOlMjEpQEYg5,"I am 83, going on 84 and I think a bicycle would be dangerous for me.  Also I probably would have to bicycle on El Camino Real, too dangerous.",10/14/13,Bike,,,,,,,,,,
R_bei0MLMRnjkuUxD,"If Marguerite came closer to the faculty housing, I could ride it to Caltrain instead of taking vans/taxis.",10/14/13,,Marguerite,,,,,,,,,
R_9Tv0mYrxxDTDV53,"Stanford is very pro-active, and very highly rated in their bike program, but it's time to raise the bar and take it the next level.  Secure parking areas to decrease theft, helmet storage, and more incentives for safe biking at stanford.   Required halmet use by community members would be a nice start. ",10/14/13,Bike,,,,,,,,,,
R_9KYseUAHgUDB4GN,"I am a member of commute club and really like it, the website is easy to use. ",10/14/13,,,,Commute Club,,,,,,,
R_0U4o9Xf2x6Vxact,"Please show all of the Bicycle Safety Repair Stands on the Stanford Campus Map. I had previously searched your web site for the sites, but could not find them because I did not know their official name ""Bicycle Safety Repair Stands"".  The Campus Map shows all of the parking structures.  Why not show key information for bikes?",10/14/13,Bike,,,,,,,,,,
R_894cQGDNumTSgZL,It may be helpful to have a member of Parking and Transportation attend department meetings. (ie the Athletic Dept to talk about programs and educate staff)  Having worked at Stanford over 25 years I have bad habits that need changed!  Get Coaches up to speed and have them help spread the word around campus about options and the importance of not having 1 person 1 car as the main way to come to campus.,10/14/13,,,,,,,,,,,Other
R_eXSS6CqSkE9XIIB,"It would be great if the P line left from the same place as all the other Marguerite shuttles, rather than the bus depot (relatively) far away. It would be easier for commuters, and it would cause much less confusion among tourists. I would take the P in the mornings to get to the quad, but I take the Y instead and walk a bit, because it's easier than going to the bus depot and waiting for the P. I see a lot of confusion among people visiting Stanford about how to get to the main quad, and they are often being sent to take the P, which leads to them wandering around confused. If the P just left from the main place, it would be much easier. ",10/14/13,,Marguerite,,,,,,,,,
R_5cqVno1OFThCS8J,It is way too expensive for me to live somewhere with good public transit.  Need something for those of us who can only afford to live in rural areas!,10/14/13,,,,,,,,,,,
R_0pjucUVvZnP6L6B,"if you want us to use zipcar more, free accounts would be better than free credit hours",10/14/13,,,Other transit,,,,,,,,
R_0OOqHhHKOVOG2RD,"I live in Olmsted faculty housing. It is a pity that now there is no direct marguerite from EV to palo alto train station, which I think is a popular route. Also the one directional C line wastes a lot of time; i really miss the old A line that go through main quad and to downtown palo alto. ",10/14/13,,,,,,,,,,,
R_6h92JUwI0mMbeBv,"It would be good to receive clean air credit for every day when I am not using my car for transport. Instead, the current system is all-or-none, which I cannot do due to my work schedule often extending beyond the time the last Caltrain leaves (11pm).",10/14/13,,,,Commute Club,,,,,,,
R_cGtbRMb7zauHz0x,"I am a HUGE fan of the commute club, clean air cash and the Caltrain pass.  I also purchase scratchers for those rare occasions when I need to drive to campus.  Keep these programs going!",10/14/13,,,Other transit,Commute Club,,,,,,,
R_agW3H4a9GrLo51j,"I'm aware that the careshare / on campus rental programs exist, but I don't know anything about them.  ",10/14/13,,,,,,,,,,,Other
R_3JZcN3lJBApKeQ5,I love the go pass and Caltrain!!!!,10/14/13,,,Other transit,Commute Club,,,,,,,
R_e2pgUXS9MC9yPOd,"I transport 2 children to and from campus each day. I wish that was more reflected in my survey answers.  I am not really driving alone, but I am not carpooling either. / I might consider biking to work if I had help purchasing a double-bike or kid trailer for my bike.",10/14/13,,,,,,,,,,,
R_8CjLZcSHWvrjEP3,"I should have thought of this for the bike-safety program question earlier, but... I find myself thinking more than I really should about where I'm supposed to ride as a cyclist.  Some of the intersections are dangerous-- like the galvez/campus situation, and even the campus/palm drive intersection.  disrespectful drivers, and inconsistent cross-walks, and bikers who don't know if they should ride as a bike or cross like a pedestrian.  I think more simple signage  (or even stoplights) would create safer and clearer intersections.  I am always a defensive cyclist at these intersections, but never quite know how I should be doing it (which is weird, because I know cycling rules and safety, and driving rules and safety)... ",10/14/13,Bike,,Other transit,,,,Walking,,,,
R_egKyrGYBWfNzs2N,parking fees are to expensive.,10/14/13,,,,,Parking,,,,,,
R_0e3BckD2GjWysJL,I don't qualify for the incentives since I am no longer an employee. You may want to toss this survey reply.,10/14/13,,,,,,,,,,,Other
R_54qISaVHdxOH5E9,"I saw above ""folding bike subsidy"" and recently bought a folding bike to try to commute from a more remote parking garage.  However I never heard of it.  Where is the link?  ",10/14/13,Bike,Marguerite,,,Parking,,Walking,,,,Other
R_erJK6X8bu91JZ77,"Whenever possible, I use the U line bus service.  I greatly appreciate this service and it is often more convienent than driving alone.  However, I often have to drive to attend off site meetings during the day.  The only critique I have of the U line is that it is often not on time, especially in the mornings. If I have a meeting at a specific start time, I generally drive because I can't rely on the bus to get me to work at the correct time.  Additionally, another bus between 3 and 4pm would be great to provide more options.  I often leave earlier so I can pick up my son from child care.  I wold prefer to leave at 3:30 as 3 is too early.  I generally work from home in the afternoons to facilitate child care issues. ",10/14/13,,,Other transit,,,,,,,,
R_d6vJT8ondly5C6h,"commuter options like buses are not usually available to nurses, the largest employee bank of the hospitals.  most of us work from 7a-7p and get out too late for these options.  also, it would be great if the A lot at quarry and welch road was converted into a mulitlevel structure.  we seem to keep being pushed further away from the hospital for parking.  for those of us who commute an hour already, to have to walk or wait for a shuttle from stockfarm or hoover often adds 20 minutes to our already very long commute.",10/14/13,,,,,Parking,,,,,,
R_cvDYs7AChd8fMIB,"My commute in a single driver car has everything to do with childrens school schedule, athletic schedule  and drop off pick up times ",10/14/13,,,,,,,,,,,Other
R_2rCwHp9aDdTfdRj,MIssed the days the VTA and caltrain passes were issued on campus and having trouble getting to transportation office during office hours to get the passes,10/14/13,,,,,,,,,,,
R_79thvtLHFJTnNrf,This helps me awhole lot.,10/14/13,,Marguerite,Other transit,,,,Walking,,,,
R_9mkABchdRqyzDp3,find me a way to leave home not before 0600 for 0700 shift time or find me a way to get home safely after 2330 at night.,10/14/13,Bike,,Other transit,Commute Club,,,,Carpooling/Vanpooling,,,
R_eySJkQQW7LFjlkN,"Already commented on the commute club, U bus (see previous comment).  I also use the Eco and Go pass, mostly for personal reasons after work. If I did not have access to the Go pass, I would have to drive on the days that I have events after work.  /  /  I was happy to use the Go pass when the big game fell on a Thursday this year. Even though I only live one stop from University Ave, using the train helped me avoid hours of commute.  This is a wonderful program, please continue it.",10/14/13,Bike,Marguerite,,Commute Club,,,,,,,
R_aXXjYuH6LU4CJjn,you do a great job.  still wish there was a way to commute to the rwc campus from main campus of hospital.  there is no shuttle from the rwc train station to rwc campus during non commute hours.  Commuting from main to rwc is the only reason that i drive.,10/14/13,,,Other transit,,,,,,,,Other
R_4GRcGV4E6TWQG3P,"I am aware of the commute club, but cannot be a member or receive the many benefits because my clinic locations are not on the Stanford Campus. I work on the LPCH Adolescent Health Van and the Ravenswood community health center in East Palo Alto. I get to my work sites by combinations of bike, Caltrain, BART, Ferry and walking. I drive once a week or less. I have addressed this previously.  I would like to see memebership in the commute club be an option for employees who do not commute to the main Stanford campus. ",10/14/13,Bike,,Other transit,Commute Club,,,Walking,,,,
R_6JzMaHe5NJCAhU1,Adding more Enterprise vouchers for the quarter ,10/14/13,,,,Commute Club,,,,,,,
R_4Tow1d51IH0jhGZ,More bike lockers at hospital.,10/14/13,Bike,,,,,,,,,,
R_6zY22Ms54wFCa8Z,we need more east bay busses and parking spaces at the park n ride.  ridership has dramatically increased over the past two -three years.,10/14/13,,Marguerite,,,Parking,,,,,,Other
R_cVh31icdzEmSUqp,"would appreciate shuttle service to PS5 after working 12 hour shifts, endig at 1915.",10/14/13,,,,,,,,,,,
R_bNOVyzIrXLHlWkd,"primary driver, usually do errands after work, need the car. ",10/14/13,,,,,Parking,,,,,,
R_3IqkH6cHtGtkS6V,"My main problem with commuting is that it seems Caltrain does not seem to have enough cars, especially on days of Giants game.  Also, both on Caltrain and Margarite - there should be discouragement around loud use of cell phones.",10/14/13,,,,,,,,,,,
R_9uxudev4ZMPJ8JD,If we could get Bart and bus to commute to the Los Gatos Hospital that would be great. Especially since my departing time is not fixed.  Depends on patient Care.,10/14/13,,,Other transit,,,,,,,,Other
R_8bL4RCk16BRXVel,"If I could easily get to Caltrain, I would use the train most days.  To get to Caltrain requires me to take the SF muni and then walk 15-20 minutes.  Hence my daily communte time would increase by about 2 hours.  Parking near Caltrain is expensive if you can find it.",10/14/13,,,Other transit,,,,,,,,
R_4JzqeXammTPrn7L,"I had planned to begin riding my bike to work when my office was on campus.  Not that I am located in Menlo Park, that's no longer an option.  There is not a safe route to/from my office location, the change adds at least 30 minutes to my ride, and I travel back and forth to campus for meetings on a regular basis.",10/14/13,Bike,,,,,,,,,,
R_8BOuHdp1E1iwjPf,"In previous years, I had tried to get a bike locker.  Put in a request and got absolutely NO RESPONSE.  ",10/14/13,Bike,,,,,,,,,,
R_57oBKU1iCeyM2MJ,"I have a autoimmune disease that causes loss of blood flow to hands and feet if I become too cold. I have suffered throughout the winter with having to park so far away for the Cancer Center and had to walk in the cold with numb feet. I have never been so frustrated in the 25 years of working at Stanford. The Marguerite buses have so often been rerouted, off on the times and infrequent that even when I arrive 15 minutes before I need to clock in I end up standing in the cold waiting or just giving up and walking in. Coming and going to work is the worst part of my day. I work 12 hours shifts and at the end of the day I just want to go home and not have to spend another 20-30 minutes just getting to the parking structure at Hoover were my car is parked.",10/14/13,,Marguerite,,,,,,,,,
R_1FEdIQP3eLJkrLn,"East Bay express bus, Dumbarton Express to/from  Pleasanton, Livermore area after 9pm",10/14/13,,,Other transit,Commute Club,,,,Carpooling/Vanpooling,,,
R_6hZnwCEBcPHMrD7,I would love earlier ACE train access from Pleasanton to Fremont as well as earlie U line bus to get to work by 6am ,10/14/13,,,,,,,,,,,Other
R_1ZWRkPRSHhabHaR,Zipcar option to get from Bohannon to Campus,10/14/13,,,Other transit,,,,,,,,
R_0pshibXJua0z325,Please have the U line go to Redwood City OPC. We have been here since 2009 and still no U line. Lots of employees commute from the East Bay. ,10/14/13,,,Other transit,,,,,,,,
R_0P7BDA3UR7OCYVD,"Please, oh, please run the N and O year-round!  Badly needed for transit to/from Caltrain when my BOH bus doesn't run, and for all my co-workers who ride the train or would, if they could get to it.  It's unrealistic to expect Security to get us there a couple at a time, when they often are over-employed with crises.  There is a lot of need outside 9-to-5!  Weekends mornings are also a desert for night-shift, because even the SE starts abyssmally late.   ",10/14/13,,Marguerite,,,,,,,,,Other
R_aVP0UOvay8S2IrH,It would be nice to have transit options from the East Bay/Fremont area for 8 & 12 hour night shift staff. ,10/14/13,,,Other transit,,,,,,,,
R_2mfYfdR23WZTstD,"I had the CalTrainGo pass 2 years ago and did occasionally use when going to meetings and not a regular work day. / When I attempted to get the pass this year, was told the sticker needed to be directly on my employee badge. Because my work badge is in a plastic cover and several hospital pins, I do not want to take the badge out of the plastic case, undue the pins everytime I would be using.  / Was informed that it was not ok to have the GO pass on the back of another hospital card (ie my LPCH/El Camino badge card, or meal card.  Thus, don't have the GO pass sticker this year and thus not using the train - which I otherwise might occasionally use if I had the sticker.",10/14/13,,,Other transit,,,,,,,,
R_2tNza5qyLqpoRp3,"If lightrail provides Wi_fi connection, we sorely need one on the train(s). I know this has been a long-standing issue, I've only been riding the train for almost 2 years now but really, we need one.",10/14/13,,,,,,,,,,,
R_3TO7VzibbyUvNEV,more frequent runs from 101 embacderro  to stanford hopsital  meanning shuttles so i dont have to drive ,10/14/13,,Marguerite,,,Parking,,,Carpooling/Vanpooling,,,
R_afnpJgmHdKdqPPf,"To make it user friendly to order parking permit on line. The annual permit is easy to find on intranet, but I don't see the site for daily permit. ",10/14/13,,,,,,,,,,,Other
R_elEnlaPiXKEXSbb,"I find the commute experience outstanding.  Very responsive to needed schedule adjustments, great drivers.",10/14/13,,,,,,,,,,,Other
R_7OQOKpHn79iQWnr,"I live on the Marguerite shuttle route between the hospital and Bohannan (LPCH offices), but there's no stop on Marsh Road. It would be great if there was a stop between Bohannan and Middlefield and that would allow me to take the shuttle almost every day.",10/14/13,,Marguerite,,,,,,,,,
R_2rWQxrHsaw7vUKV,"programs are great, just not geared to someone working 12 hour days",10/14/13,,,,,,,,,,,
R_6VXt7zqdNVSe8ap,"have old scratch permit good for year 2010 - 2013. Since I used them infrequently in the past, can I exchanged with valid year?",10/14/13,,,,Commute Club,,,,,,,
R_d59iqro62sjz44l,my boss wont let me change my weekend schedule so that I can commute to work,10/14/13,,,,Commute Club,,,,Carpooling/Vanpooling,,,
R_9yTigorFx8t6tmd,I live in Fremont and work at the Redwood city campus and i do not have any other way but to be in a carpool for you do not provide any transportation to this location.,10/14/13,,,Other transit,,,,,,,,
R_4TNuqhMDy0zjVQx,The Marguerite should be timed with the Caltrans trains.  My train is due to arrive at Palo Alto at 10:25 and the Marguerite X leaves the station at 10:25.  The Marguerite should leave the station at 10:30 to make sure staff has applicable time to make the connection.,10/14/13,,Marguerite,,,,,,,,,
R_2rwRohOdXgsb5qJ,"I appreciate the many commute options that the Campus offers.  When my office was at LPCH (725 Welch) I was eligible to join the Commute Club.  Now that my office is across the street at the Barn (700 Welch), I am no longer eligible since parking at 700 is free.  However, I continue to commute by Caltrain, so I don't take advantage of the free parking.  It would be nice for people in my situation to be able to join the Commute Club so that we can take advantage of the generous benefits.  Thanks.",10/14/13,,,,Commute Club,,,,,,,
R_cYC48NRxynuc0zr,Where do you find out about all of these bike programs that are listed above?  / I stopped parking at Hoover because you stopped the MC and Hoover Marguerite from stopping in front of Hoover.  This should not have been stopped until the pathway was no longer blocked by all of the construction or the Marguerite could stop at the back of the Hoover parking structure. / ,10/14/13,Bike,Marguerite,,,,,,,,,
R_79Wr4nLqgqZD8nH,"The Marguerite shuttles need to drop us off safely.   They do not bring the bus to the curb.  Sometimes, I am not sure they know where the stop is.  They rarely use the device that lowers the bus.   I am short and it is very difficult to get off.   I have seen people fall.",10/14/13,,Marguerite,,,,,,,,,
R_1KThEB9BGx4n23b,none,10/14/13,,,,,,,,,,,Other
R_0j6KcFBaekDTitL,"For carpooling there is not enough people that live in my area, and work my hours.",10/14/13,Bike,,,,,,,,,,
R_bDubbO8bYWBz0UJ,I'm very appreciative of the Eco Pass and Go Pass programs and love having this as a option when carpool plans fall through.  Thank you!,10/14/13,,,Other transit,,,,,Carpooling/Vanpooling,,,
R_7ZJAi8K03lLNOZv,Need more parking and cheaper parking permits.,10/14/13,,,,,Parking,,,,,,
R_0fGEtZcMzj5fxTD,I really appreciate my Go Pass! ,10/14/13,,,,,,,,,,,Other
R_37V3f6IoCNBYr41,"The U Line is very convenient.  The problem is the frequency of evening meetings.  The Dumbarton Express utilizes the Union City Bart Station, while the U-Line is based in Fremont.  ",10/14/13,,,,,,,,,,,
R_djyj3plxsFoHxlj,Marguerite service midday to/from the Tech Center. Now that SHC has moved many of the classrooms there it is difficult to get back to the Med Center for those of us that ride Caltrain. ,10/14/13,,,,,,,,,,,
R_bkd3YzikUgKHZnD,"A SHUTTLE FROM THE C LOT AT HOOVER THAT PICKS UP AND DROPS OFF BY THE BANK OF AMERICA. The shuttle comes too early and picks up at the front of Hoover. HELLO. No one is allowed to park at the front of Hoover! I've been emailing and asking for the shuttle to stop there for FOUR YEARS! After working a twelve hour shift and you are exhausted, you want a ride to your car. NONE of the shuttles stop at Bank of America C lot.   / A machine that sells one day passes for C or A lot in the hospital so if you miss the bus, you have a pass ready.",10/14/13,,,,,Parking,,,,,,
R_3R8F8bX1SnbRiIt,Wish there was a Marguerite shuttle from PS5 directly to LPCH rather than just to Stanford fountain.   / Wish that parking permit was cheaper or shared expenses with night shift who can park almost anywhere for free.,10/14/13,,Marguerite,,,,,,,,,
R_9TvQ3RYGTDKabYh,Bike registration?,10/14/13,Bike,,,,,,,,,,
R_2lXtG3M2jHh8Yxn,We need more frequent Caltrain to go to/from South San Jose or Gilroy in AM and PM,10/14/13,,,Other transit,,,,,,,,
R_agYT7XZwemDq7UF,"I work at an off  site location.  It is not feasible for me to do anything else but drive alone.  Sometimes I need my car to drive to the hospital for meetings or training. I am very close to the Cal Train Station in Menlo Park and would like to start taking the train at least twice a week, however it may not pay for me to park my car at the train station in Mountain View to ride a train to Menlo Park.  I don't mind walking to the train station from my off site location it is only a mile or less.",10/14/13,,,Other transit,,,,,,,,
R_6VRxWexig9HxbTL,"I realize I do not know about many of the programs you offer. I have started to take the train regularly and the shuttle pick up from the train station is perfect. I do however, need to find out about the Emergency Ride Hom program. It's my biggest concern.",10/14/13,,Marguerite,,,,,,,,,Other
R_77o0Xh0CdwMhRI1,need a bigger shuttle from caltrain to Redwood City.  people standing in aisles and is unsafe,10/14/13,,,Other transit,,,,,,,,
R_9ZAj8YGoqpUnxmR,There needs to be one final Stanford U bus in the evening to return the 12 hour day shift people. There are so many people in my department that would use the U-line if there was a way for them to get home between 19:30-20:00. The current schedule does not allow this. ,10/14/13,,,Other transit,,,,,,,,
R_9YQPU8ZutAsClLL,"I love the ECO pass, and VTA pass. Thanks for keeping this program alive. It really helps.",10/14/13,,,,,,,,,,,Other
R_d5qq83Oyj5nM0tv,I am disabled with limited mobility so using other transit is difficult due to the extra time required; walking; etc.   ,10/14/13,Bike,,Other transit,,Parking,,Walking,,,,
R_1Teb88dAL6e7iy9,I would use public transit but currently I would have to change buses.,10/14/13,,,Other transit,,,,,,,,
